dataset,duration,league,model,accuracy
data_1,1year,all_leagues,Ensemble,0.5744282171397079
data_1,1year,bundesliga,Ensemble,0.5555555555555556
data_1,1year,la_liga,Ensemble,0.5587301587301587
data_1,1year,ligue_1_fr,Ensemble,0.5692307692307692
data_1,1year,premier_league,Ensemble,0.6599999999999999
data_1,1year,serie_a_it,RandomForest,0.575
data_1,3years,all_leagues,Ensemble,0.5674922600619194
data_1,3years,bundesliga,Ensemble,0.5633004926108375
data_1,3years,la_liga,Ensemble,0.5945812807881773
data_1,3years,ligue_1_fr,Ensemble,0.5965725806451613
data_1,3years,premier_league,SVM,0.69375
data_1,3years,serie_a_it,Ensemble,0.58125
data_1,5years,all_leagues,SVM,0.5941266209000763
data_1,5years,bundesliga,RandomForest,0.6575757575757576
data_1,5years,la_liga,AdaBoost_DT,0.670995670995671
data_1,5years,ligue_1_fr,Ensemble,0.5981884057971014
data_1,5years,premier_league,Ensemble,0.65
data_1,5years,serie_a_it,Ensemble,0.5166666666666666
data_2,1year,all_leagues,Ensemble,0.6583981001727116
data_2,1year,bundesliga,Ensemble,0.5666666666666667
data_2,1year,la_liga,Ensemble,0.6333333333333334
data_2,1year,ligue_1_fr,GaussianNB,0.61
data_2,1year,premier_league,GaussianNB,0.75
data_2,1year,serie_a_it,AdaBoost_DT,0.655
data_2,3years,all_leagues,Ensemble,0.702991202346041
data_2,3years,bundesliga,SVM,0.6669950738916256
data_2,3years,la_liga,RandomForest,0.7080459770114942
data_2,3years,ligue_1_fr,Ensemble,0.66875
data_2,3years,premier_league,SVM,0.775
data_2,3years,serie_a_it,Ensemble,0.675
data_2,5years,all_leagues,Ensemble,0.7150374812593704
data_2,5years,bundesliga,KNN,0.6489177489177489
data_2,5years,la_liga,Ensemble,0.6407114624505929
data_2,5years,ligue_1_fr,Ensemble,0.725
data_2,5years,premier_league,AdaBoost_DT,0.8
data_2,5years,serie_a_it,RandomForest,0.7083333333333333
data_3,1year,all_leagues,Ensemble,0.6666740148801322
data_3,1year,bundesliga,Ensemble,0.6444444444444445
data_3,1year,la_liga,AdaBoost_DT,0.6533333333333333
data_3,1year,ligue_1_fr,Ensemble,0.5743589743589743
data_3,1year,premier_league,RandomForest,0.745
data_3,1year,serie_a_it,AdaBoost_DT,0.67
data_3,3years,all_leagues,Ensemble,0.7117045063639491
data_3,3years,bundesliga,XGBoost,0.6118226600985222
data_3,3years,la_liga,RandomForest,0.6431034482758621
data_3,3years,ligue_1_fr,XGBoost,0.6856854838709677
data_3,3years,premier_league,Ensemble,0.76875
data_3,3years,serie_a_it,Ensemble,0.675
data_3,5years,all_leagues,Ensemble,0.7072768878718536
data_3,5years,bundesliga,Ensemble,0.6493506493506493
data_3,5years,la_liga,RandomForest,0.6523809523809524
data_3,5years,ligue_1_fr,RandomForest,0.6231884057971014
data_3,5years,premier_league,RandomForest,0.7833333333333334
data_3,5years,serie_a_it,Ensemble,0.7
